table	id	label	disc	prec	theme	tier	gap_status	gap_desc	date_realized	excess_cum	excess_peak	closed_date
industry_signals	1	事件催化/商业航天	20251124	day	商业航天/卫星	alias	closed	兑现完毕（峰值+62.9%，历时34日）已轮动（窗口内走完）	20251127	0.5656	0.6288	20260113
industry_signals	2	技术升级/固态电池	20251124	day	新能源电池/锂电/储能/固态	alias	closed	兑现完毕·深回吐（峰值+5.8%→+0.5%，46日）已轮动（窗口内走完）	20251205	0.0051	0.0585	20260129
industry_signals	3	需求爆发/海风	20251124	day		unmatched	no_anchor	无锚未跟踪（情绪周期类或覆盖洞）				
industry_signals	4	涨价驱动/金属锑	20251124	day	有色金属	hint	closed	兑现完毕（峰值+40.0%，历时47日）已轮动（窗口内走完）	20251127	0.313	0.3997	20260130
industry_signals	5	事件催化/摩尔线程	20251124	day	半导体/芯片/半导体材料	alias	closed	兑现完毕（峰值+20.5%，历时48日）已轮动（窗口内走完）	20251125	0.1545	0.2049	20260202
industry_signals	6	情绪周期/冰点修复	20251124	day		unmatched	no_anchor	无锚未跟踪（情绪周期类或覆盖洞）				
industry_signals	7	技术升级/AI芯片	20251125	day	半导体/芯片/半导体材料	alias	closed	兑现完毕（峰值+20.5%，历时47日）已轮动（窗口内走完）	20251126	0.1545	0.2049	20260202
industry_signals	8	技术升级/谷歌链	20251125	day	AI算力/AI硬件/科技硬件	alias	closed	兑现完毕（峰值+20.2%，历时50日）已轮动（窗口内走完）	20251126	0.1434	0.2021	20260205
industry_signals	9	需求爆发/货币宽松	20251125	day		unmatched	no_anchor	无锚未跟踪（情绪周期类或覆盖洞）				
industry_signals	10	需求爆发/风电	20251125	day	光伏	alias	closed	兑现完毕（峰值+16.0%，历时45日）已轮动（窗口内走完）	20251205	0.0928	0.1599	20260129
industry_signals	11	情绪周期/反弹有效	20251125	day		unmatched	no_anchor	无锚未跟踪（情绪周期类或覆盖洞）				
industry_signals	12	需求爆发/光模块	20251126	day	光模块/CPO/光通信/光纤	alias	closed	兑现完毕（峰值+12.7%，历时14日）已轮动（窗口内走完）	20251127	0.0671	0.1273	20251216
industry_signals	13	事件催化/商业航天	20251126	day	商业航天/卫星	alias	closed	兑现完毕（峰值+64.6%，历时32日）已轮动（窗口内走完）	20251127	0.5826	0.6458	20260113
industry_signals	14	需求爆发/特斯拉机器人	20251126	day	机器人	alias	closed	兑现完毕（峰值+14.2%，历时44日）已轮动（窗口内走完）	20251127	0.0733	0.1417	20260129
industry_signals	15	事件催化/工业富联	20251126	day		unmatched	no_anchor	无锚未跟踪（情绪周期类或覆盖洞）				
industry_signals	16	情绪周期/连板回归	20251126	day		unmatched	no_anchor	无锚未跟踪（情绪周期类或覆盖洞）				
industry_signals	17	事件催化/反内卷	20251127	day	机器人	alias	closed	兑现完毕（峰值+14.1%，历时43日）已轮动（窗口内走完）	20251204	0.0724	0.1409	20260129
industry_signals	18	供给紧缺/国产替代	20251127	day	AI算力/AI硬件/科技硬件	alias	closed	兑现完毕（峰值+16.8%，历时48日）已轮动（窗口内走完）	20251208	0.1093	0.168	20260205
industry_signals	19	涨价驱动/锂电池材料	20251127	day	新能源电池/锂电/储能/固态	alias	closed	兑现完毕（峰值+12.6%，历时80日）已轮动（窗口内走完）	20251205	0.0742	0.1265	20260331
industry_signals	20	事件催化/朱雀三号	20251127	day	商业航天/卫星	alias	closed	兑现完毕（峰值+64.5%，历时31日）已轮动（窗口内走完）	20251128	0.5817	0.6449	20260113
industry_signals	21	情绪周期/赚钱效应下降	20251127	day		unmatched	no_anchor	无锚未跟踪（情绪周期类或覆盖洞）				
industry_signals	22	需求爆发/英伟达	20251029	day	AI算力/AI硬件/科技硬件	hint	closed	兑现完毕（峰值+10.1%，历时69日）已轮动（窗口内走完）	20251125	0.042	0.1007	20260205
industry_signals	23	需求爆发/特高压	20251029	day	AI算力/AI硬件/科技硬件	alias	closed	兑现完毕（峰值+10.1%，历时69日）已轮动（窗口内走完）	20251125	0.042	0.1007	20260205
industry_signals	24	事件催化/多晶硅收储	20251029	day	新能源电池/锂电/储能/固态	alias	closed	兑现完毕（峰值+10.7%，历时101日）已轮动（窗口内走完）	20251030	0.0547	0.107	20260331
industry_signals	25	情绪周期/牛市确认	20251029	day		unmatched	no_anchor	无锚未跟踪（情绪周期类或覆盖洞）				
industry_signals	26	技术升级/光进铜退	20251029	day	有色金属	hint	closed	兑现完毕（峰值+39.4%，历时65日）已轮动（窗口内走完）	20251105	0.3077	0.3944	20260130
