table	id	label	disc	prec	theme	tier	gap_status	gap_desc	date_realized	excess_cum	excess_peak	closed_date	dormant_since	relit_date	relit_count
industry_signals	1	事件催化/商业航天	20251124	day	商业航天/卫星	alias	dormant	暗态·已兑现候二段（峰值+62.9%→现+33.0%）·已点亮2次	20251127	0.33	0.6288	20260514	20260113	20260508	2
industry_signals	2	技术升级/固态电池	20251124	day	新能源电池/锂电/储能/固态	alias	dormant	暗态·已兑现候二段（峰值+15.5%→现+12.1%）·已点亮2次	20251205	0.121	0.155	20260526	20260129	20260410	2
industry_signals	3	需求爆发/海风	20251124	day		unmatched	no_anchor	无锚未跟踪（情绪周期类或覆盖洞）							
industry_signals	4	涨价驱动/金属锑	20251124	day	有色金属	hint	dormant	暗态·已兑现候二段（峰值+40.0%→现+14.4%）	20251127	0.1442	0.3997	20260130	20260130		0
industry_signals	5	事件催化/摩尔线程	20251124	day	半导体/芯片/半导体材料	alias	closing	二段主升兑现中（120日，累计+42.6%，峰值+46.0%）	20251125	0.4258	0.4602	20260202	20260202	20260409	1
industry_signals	6	情绪周期/冰点修复	20251124	day		unmatched	no_anchor	无锚未跟踪（情绪周期类或覆盖洞）							
industry_signals	7	技术升级/AI芯片	20251125	day	半导体/芯片/半导体材料	alias	closing	二段主升兑现中（120日，累计+42.8%，峰值+46.0%）	20251126	0.4281	0.4602	20260202	20260202	20260409	1
industry_signals	8	技术升级/谷歌链	20251125	day	AI算力/AI硬件/科技硬件	alias	closing	二段主升兑现中（120日，累计+51.3%，峰值+51.3%）	20251126	0.5132	0.5132	20260205	20260205	20260409	1
industry_signals	9	需求爆发/货币宽松	20251125	day		unmatched	no_anchor	无锚未跟踪（情绪周期类或覆盖洞）							
industry_signals	10	需求爆发/风电	20251125	day	光伏	alias	dormant	暗态·已兑现候二段（峰值+19.8%→现+10.0%）·已点亮1次	20251205	0.0998	0.1976	20260330	20260129	20260323	1
industry_signals	11	情绪周期/反弹有效	20251125	day		unmatched	no_anchor	无锚未跟踪（情绪周期类或覆盖洞）							
industry_signals	12	需求爆发/光模块	20251126	day	光模块/CPO/光通信/光纤	alias	closing	二段主升兑现中（120日，累计+53.3%，峰值+54.9%）	20251127	0.5325	0.5486	20260428	20251216	20260511	2
industry_signals	13	事件催化/商业航天	20251126	day	商业航天/卫星	alias	dormant	暗态·已兑现候二段（峰值+64.6%→现+29.5%）·已点亮2次	20251127	0.2949	0.6458	20260514	20260113	20260508	2
industry_signals	14	需求爆发/特斯拉机器人	20251126	day	机器人	alias	dormant	暗态·已兑现候二段（峰值+18.4%→现+9.6%）·已点亮1次	20251127	0.0957	0.1842	20260527	20260129	20260508	1
industry_signals	15	事件催化/工业富联	20251126	day		unmatched	no_anchor	无锚未跟踪（情绪周期类或覆盖洞）							
industry_signals	16	情绪周期/连板回归	20251126	day		unmatched	no_anchor	无锚未跟踪（情绪周期类或覆盖洞）							
industry_signals	17	事件催化/反内卷	20251127	day	机器人	alias	dormant	暗态·已兑现候二段（峰值+18.3%→现+9.2%）·已点亮1次	20251204	0.0917	0.1834	20260527	20260129	20260508	1
industry_signals	18	供给紧缺/国产替代	20251127	day	AI算力/AI硬件/科技硬件	alias	dormant	暗态·已兑现候二段（峰值+47.9%→现+41.0%）·已点亮1次	20251208	0.4103	0.4791	20260601	20260205	20260409	1
industry_signals	19	涨价驱动/锂电池材料	20251127	day	新能源电池/锂电/储能/固态	alias	dormant	暗态·已兑现候二段（峰值+13.9%→现+7.4%）·已点亮2次	20251205	0.0741	0.1394	20260526	20260129	20260410	2
industry_signals	20	事件催化/朱雀三号	20251127	day	商业航天/卫星	alias	dormant	暗态·已兑现候二段（峰值+64.5%→现+28.8%）·已点亮2次	20251128	0.2882	0.6449	20260514	20260113	20260508	2
industry_signals	21	情绪周期/赚钱效应下降	20251127	day		unmatched	no_anchor	无锚未跟踪（情绪周期类或覆盖洞）							
industry_signals	22	需求爆发/英伟达	20251029	day	AI算力/AI硬件/科技硬件	hint	closing	二段主升兑现中（102日，累计+19.3%，峰值+20.8%）	20251125	0.1935	0.2078	20260205	20251128	20260409	2
industry_signals	23	需求爆发/特高压	20251029	day	AI算力/AI硬件/科技硬件	alias	closing	二段主升兑现中（102日，累计+19.3%，峰值+20.8%）	20251125	0.1935	0.2078	20260205	20251128	20260409	2
industry_signals	24	事件催化/多晶硅收储	20251029	day	新能源电池/锂电/储能/固态	alias	closing	二段兑现中·回撤近警戒（峰值+10.7%→现+4.0%）	20251030	0.0396	0.107	20260331	20251120	20260410	3
industry_signals	25	情绪周期/牛市确认	20251029	day		unmatched	no_anchor	无锚未跟踪（情绪周期类或覆盖洞）							
industry_signals	26	技术升级/光进铜退	20251029	day	有色金属	hint	dormant	暗态·已兑现候二段（峰值+39.4%→现+18.2%）	20251105	0.182	0.3944	20260130	20260130		0
industry_signals	27	涨价驱动/钨	20251029	day	钨/小金属	hint	closing	二段主升兑现中（116日，累计+24.1%，峰值+34.7%）	20251105	0.2413	0.3474	20260303	20251112	20260327	3
industry_signals	28	需求爆发/AI算力	20251030	day	光模块/CPO/光通信/光纤	alias	dormant	暗态·已兑现候二段（峰值+40.0%→现+33.7%）·已点亮2次	20251117	0.3371	0.4001	20260428	20251120	20260409	2
industry_signals	29	涨价驱动/VLCC	20251030	day		unmatched	no_anchor	无锚未跟踪（情绪周期类或覆盖洞）							
industry_signals	30	涨价驱动/六氟磷酸锂	20251030	day	新能源电池/锂电/储能/固态	alias	closing	二段兑现中·回撤近警戒（峰值+10.2%→现+6.3%）	20251124	0.0632	0.1022	20260331	20251127	20260410	2
industry_signals	31	涨价驱动/三花智控	20251030	day	机器人	alias	dormant	暗态·深回吐候二段（峰值+9.6%→现-2.3%）·已点亮1次	20251114	-0.023	0.0965	20260319	20251119	20260309	1
industry_signals	32	技术升级/中际旭创	20251030	day		unmatched	no_anchor	无锚未跟踪（情绪周期类或覆盖洞）							
industry_signals	33	涨价驱动/六氟磷酸锂	20251031	day	新能源电池/锂电/储能/固态	alias	closing	二段兑现中·回撤近警戒（峰值+9.7%→现+5.0%）	20251124	0.0505	0.0966	20260331	20251127	20260410	2
industry_signals	34	技术升级/EML光芯片	20251031	day	AI算力/AI硬件/科技硬件	alias	closing	二段主升兑现中（104日，累计+25.6%，峰值+26.1%）	20251125	0.2564	0.2607	20260205	20260205	20260409	1
