日期	风偏	档位	3日涨跌%	市场	匹配分	匹配档	备注
2025-10-19	2	中低	1.51	涨	2	失败	ok
2025-10-20	2	中低	1.51	涨	2	失败	ok
2025-10-21	2	中低	0.87	涨	2	失败	ok
2025-10-22	2	中低	2.13	涨	2	失败	ok
2025-10-23	2	中低	1.68	涨	2	失败	ok
2025-10-26	3	中	-0.25	平	3	中性	ok
2025-10-27	2	中低	-0.25	平	3	中性	ok
2025-10-28	2	中低	-0.84	跌	4	成功	ok
2025-10-29	2	中低	-0.99	跌	4	成功	ok
2025-10-30	3	中	-0.67	平	3	中性	ok
2025-10-31	2	中低	0.37	平	3	中性	ok
2025-11-03	1	低	0.79	涨	2	失败	ok
2025-11-04	3	中	0.94	涨	3	中性	ok
2025-11-05	2	中低	1.24	涨	2	失败	ok
2025-11-06	5	高	-0.12	平	3	中性	ok
2025-11-10	5	高	0.27	平	3	中性	ok
2025-11-11	3	中	-0.31	平	3	中性	ok
2025-11-12	3	中	-0.7	跌	3	中性	ok
2025-11-13	3	中	-2.23	跌	3	中性	ok
2025-11-16	2	中低	-1.03	跌	4	成功	ok
2025-11-17	3	中	-1.03	跌	3	中性	ok
2025-11-18	3	中	-2.66	大跌	3	中性	ok
2025-11-19	2	中低	-2.79	大跌	4	成功	ok
2025-11-20	2	中低	-1.55	跌	4	成功	ok
2025-11-23	1	低	1.0	涨	2	失败	ok
2025-11-24	1	低	1.0	涨	2	失败	ok
2025-11-25	2	中低	0.48	平	3	中性	ok
2025-11-26	2	中低	1.29	涨	2	失败	ok
2025-11-27	2	中低	0.58	平	3	中性	ok
2025-11-30	2	中低	-0.98	跌	4	成功	ok
2025-12-01	2	中低	-0.98	跌	4	成功	ok
2025-12-02	2	中低	0.13	平	3	中性	ok
2025-12-03	1	低	1.19	涨	2	失败	ok
2025-12-04	2	中低	0.87	涨	2	失败	ok
2025-12-07	2	中低	-1.29	跌	4	成功	ok
2025-12-08	2	中低	-1.29	跌	4	成功	ok
2025-12-09	2	中低	-0.52	平	3	中性	ok
2025-12-10	3	中	-0.84	跌	3	中性	ok
2025-12-11	2	中低	-1.25	跌	4	成功	ok
2025-12-14	1	低	0.22	平	3	中性	ok
2025-12-16	1	低	1.72	涨	2	失败	ok
2025-12-17	3	中	1.22	涨	3	中性	ok
2025-12-18	2	中低	1.12	涨	2	失败	ok
2025-12-21	3	中	1.08	涨	3	中性	ok
2025-12-22	3	中	1.08	涨	3	中性	ok
2025-12-23	2	中低	1.11	涨	2	失败	ok
2025-12-24	3	中	0.62	平	3	中性	ok
2025-12-25	4	中高	0.14	平	3	中性	ok
2025-12-28	2	中低	6.28	大涨	2	失败	ok
2025-12-29	5	高	6.28	大涨	5	大成功	ok
2025-12-30	2	中低	1.47	涨	2	失败	ok
2026-01-04	1	低	1.48	涨	2	失败	ok
2026-01-05	2	中低	1.48	涨	2	失败	ok
2026-01-06	2	中低	0.9	涨	2	失败	ok
2026-01-07	5	高	1.95	涨	4	成功	ok
2026-01-08	3	中	1.37	涨	3	中性	ok
2026-01-11	3	中	-1.26	跌	3	中性	ok
2026-01-12	2	中低	-1.26	跌	4	成功	ok
2026-01-13	5	高	-0.89	跌	2	失败	ok
2026-01-15	4	中高	0.03	平	3	中性	ok
2026-01-18	5	高	0.21	平	3	中性	ok
2026-01-19	3	中	0.21	平	3	中性	ok
2026-01-20	2	中低	0.55	平	3	中性	ok
2026-01-21	1	低	0.38	平	3	中性	ok
2026-01-22	2	中低	0.42	平	3	中性	ok
2026-01-25	2	中低	0.61	平	3	中性	ok
2026-01-26	2	中低	0.61	平	3	中性	ok
2026-01-27	2	中低	-0.53	平	3	中性	ok
2026-01-28	2	中低	-3.26	大跌	4	成功	ok
2026-01-29	1	低	-2.17	跌	4	成功	ok
2026-01-31	1	低	1.5	涨	2	失败	ok
2026-02-02	1	低	1.5	涨	2	失败	ok
2026-02-03	2	中低	-0.05	平	3	中性	ok
2026-02-04	1	低	0.51	平	3	中性	ok
2026-02-05	2	中低	1.29	涨	2	失败	ok
2026-02-08	4	中高	0.27	平	3	中性	ok
2026-02-09	3	中	0.27	平	3	中性	ok
2026-02-10	4	中高	-1.12	跌	2	失败	ok
2026-02-11	2	中低	-0.35	平	3	中性	ok
2026-02-23	2	中低	1.1	涨	2	失败	ok
2026-02-24	2	中低	1.1	涨	2	失败	ok
2026-02-25	3	中	0.85	涨	3	中性	ok
2026-02-26	2	中低	-0.58	平	3	中性	ok
2026-03-01	2	中低	-1.77	跌	4	成功	ok
2026-03-02	4	中高	-1.77	跌	2	失败	ok
2026-03-03	2	中低	0.04	平	3	中性	ok
2026-03-04	2	中低	0.35	平	3	中性	ok
2026-03-05	2	中低	0.35	平	3	中性	ok
2026-03-08	3	中	0.79	涨	3	中性	ok
2026-03-09	2	中低	0.79	涨	2	失败	ok
2026-03-10	2	中低	-0.67	平	3	中性	ok
2026-03-11	2	中低	-1.18	跌	4	成功	ok
2026-03-12	1	低	-1.92	跌	4	成功	ok
2026-03-15	2	中低	-1.92	跌	4	成功	ok
2026-03-16	2	中低	-1.92	跌	4	成功	ok
2026-03-17	1	低	-2.29	跌	4	成功	ok
2026-03-18	2	中低	-6.15	大跌	4	成功	ok
2026-03-19	1	低	-3.13	大跌	5	大成功	ok
2026-03-22	2	中低	1.99	涨	2	失败	ok
2026-03-23	2	中低	1.99	涨	2	失败	ok
2026-03-24	2	中低	0.84	涨	2	失败	ok
2026-03-25	2	中低	-0.22	平	3	中性	ok
2026-03-26	2	中低	0.07	平	3	中性	ok
2026-03-29	1	低	-0.1	平	3	中性	ok
2026-03-30	2	中低	-0.1	平	3	中性	ok
2026-04-01	3	中	-1.48	跌	3	中性	ok
2026-04-02	2	中低	1.93	涨	2	失败	ok
2026-04-06	2	中低	2.47	涨	2	失败	ok
2026-04-07	1	低	2.47	涨	2	失败	ok
2026-04-08	3	中	-0.16	平	3	中性	ok
2026-04-09	1	低	1.52	涨	2	失败	ok
2026-04-12	2	中低	1.68	涨	2	失败	ok
2026-04-13	2	中低	1.68	涨	2	失败	ok
2026-04-14	2	中低	0.62	平	3	中性	ok
2026-04-15	2	中低	1.36	涨	2	失败	ok
2026-04-16	4	中高	0.73	涨	4	成功	ok
2026-04-19	2	中低	0.27	平	3	中性	ok
2026-04-20	1	低	0.27	平	3	中性	ok
2026-04-21	4	中高	-0.13	平	3	中性	ok
2026-04-22	3	中	-0.48	平	3	中性	ok
2026-04-23	2	中低	-0.36	平	3	中性	ok
2026-04-26	3	中	0.63	平	3	中性	ok
2026-04-27	4	中高	0.63	平	3	中性	ok
2026-04-28	2	中低	2.0	涨	2	失败	ok
2026-04-29	3	中					前瞻不足
2026-05-05	4	中高					前瞻不足
2026-05-06	4	中高					前瞻不足
