date	score	level_pct	trend	cycle_no	season	corrected	season_confidence	hint	extreme	jinji	limit_up	limit_down	confidence
20250115	60.0	50	上行	1	春	False	低		False	19.11764705882353	65	7	0.5
20250116	67.4	50	上行	1	春	False	低		False	35.38461538461539	71	4	0.75
20250117	47.2	50	上行	1	春	False	低		False	19.718309859154928	57	12	0.75
20250120	53.7	50	上行	1	春	False	低		False	28.07017543859649	71	19	0.75
20250121	47.4	50	上行	1	春	False	低		False	21.12676056338028	46	18	0.75
20250122	44.8	50	下行	1	春	False	低		False	28.26086956521739	39	21	0.88
20250123	50.2	50	下行	1	春	False	低		False	28.205128205128204	40	19	0.88
20250124	70.6	50	下行	1	春	False	低		False	32.5	67	19	0.88
20250127	30.4	50	下行	1	春	False	低		False	11.940298507462687	39	37	0.88
20250205	59.3	70.0	下行	1	春	False	低		False	33.333333333333336	77	31	0.88
20250206	88.2	100.0	上行	1	夏	False	高	🔥火热点·秋风险积累中	False	29.87012987012987	90	0	0.88
20250207	86.2	91.7	上行	1	夏	False	高		False	28.88888888888889	83	1	0.88
20250210	87.8	92.3	上行	1	夏	False	高		False	37.34939759036145	123	1	0.88
20250211	64.8	64.3	上行	1	夏	False	高		False	21.13821138211382	73	0	0.88
20250212	76.4	80.0	上行	1	夏	False	高		False	23.28767123287671	83	0	0.88
20250213	52.1	37.5	上行	1	夏	False	高		False	20.481927710843372	64	2	0.88
20250214	46.9	17.6	上行	1	夏	False	高		False	25.0	81	6	0.88
20250217	70.5	72.2	上行	1	夏	False	高		False	27.160493827160494	103	4	0.88
20250218	32.8	10.5	下行	1	秋	False	高		False	16.50485436893204	47	16	0.88
20250219	68.6	70.0	下行	1	秋	False	高		False	23.404255319148938	109	2	0.88
20250220	61.9	57.1	下行	1	秋	False	高		False	23.853211009174313	97	1	0.88
20250221	64.2	59.1	下行	1	秋	False	高		False	18.556701030927837	112	0	0.88
20250224	48.1	30.4	下行	1	冬	False	低		False	16.071428571428573	86	9	0.88
20250225	38.7	12.5	下行	1	冬	False	低		False	16.27906976744186	57	3	0.88
20250226	65.3	68.0	下行	1	冬	False	低		False	26.31578947368421	100	0	0.88
20250227	41.2	15.4	下行	1	冬	False	低		False	19.0	77	5	0.88
20250228	16.2	3.7	下行	1	冬	False	低		False	15.584415584415584	48	42	0.88
20250303	27.9	7.1	下行	1	冬	False	低		False	16.666666666666668	64	24	0.88
20250304	42.9	24.1	下行	1	冬	False	低		False	15.625	81	8	0.88
20250305	33.3	16.7	下行	1	冬	False	低		False	16.049382716049383	63	3	0.88
20250306	61.2	61.3	下行	1	冬	False	低		False	23.80952380952381	111	1	0.88
20250307	38.7	21.9	下行	1	冬	False	低		False	16.216216216216218	55	7	0.88
20250310	45.5	33.3	下行	1	冬	False	低		False	18.181818181818183	80	6	0.88
20250311	46.6	35.3	下行	1	冬	False	低		False	17.5	54	2	0.88
20250312	66.6	77.1	上行	2	春	False	低		False	29.62962962962963	79	1	0.88
20250313	26.3	5.6	上行	2	春	False	低		False	15.189873417721518	47	11	0.88
20250314	67.7	81.1	上行	2	夏	False	高	🔥火热点·秋风险积累中	False	27.659574468085108	87	6	0.88
20250317	53.5	52.6	上行	2	夏	False	高		False	21.839080459770116	69	2	0.88
20250318	61.4	64.1	上行	2	夏	False	高		False	21.73913043478261	66	1	0.88
20250319	41.2	25.0	上行	2	夏	False	高		False	25.757575757575758	47	2	0.88
20250320	61.4	65.9	上行	2	夏	False	高		False	40.42553191489362	62	0	0.88
20250321	35.1	16.7	上行	2	夏	False	高		False	29.032258064516128	47	20	0.88
20250324	31.0	11.6	下行	2	秋	False	高		False	25.53191489361702	49	34	0.88
20250325	25.1	4.5	下行	2	夏	True	低		False	20.408163265306122	48	35	0.88
20250326	38.2	22.2	下行	2	夏	True	低		False	18.75	74	2	0.88
20250327	20.5	4.3	下行	2	夏	True	低		False	10.81081081081081	50	20	0.88
20250328	12.3	2.1	下行	2	夏	True	低		False	12.0	32	22	0.88
20250331	30.5	16.7	下行	2	夏	True	低		False	25.0	34	31	0.88
20250401	53.4	57.1	下行	2	夏	True	低		False	26.470588235294116	56	9	0.88
20250402	23.2	8.0	下行	2	夏	True	低		False	12.5	40	12	0.88
20250403	44.2	40.0	下行	2	夏	True	低		False	22.5	53	23	0.88
20250407	26.6	14.0	下行	2	夏	True	低	极寒	True	20.754716981132077	24	2804	0.88
20250408	76.6	94.0	上行	2	夏	False	高		False	75.0	127	106	0.88
20250409	75.8	90.0	上行	2	夏	False	高		False	18.89763779527559	125	6	0.88
20250410	82.9	94.0	上行	2	夏	False	高		False	20.8	154	0	0.88
20250411	54.5	60.0	上行	2	夏	False	高		False	11.688311688311689	84	6	0.88
20250414	53.5	58.0	上行	2	夏	False	高		False	15.476190476190476	103	2	0.88
20250415	18.5	6.0	上行	2	夏	False	高		False	8.737864077669903	58	9	0.88
20250416	38.5	32.0	上行	2	夏	False	高		False	25.862068965517242	45	5	0.88
20250417	60.5	64.0	上行	2	夏	False	高		False	44.44444444444444	86	2	0.88
20250418	34.8	28.0	下行	2	秋	False	高		False	19.767441860465116	61	10	0.88
20250421	60.6	68.0	下行	2	秋	False	高		False	27.868852459016395	100	11	0.88
20250422	58.9	66.0	下行	2	秋	False	高		False	23.0	81	12	0.88
20250423	37.4	32.0	上行	2	秋	False	高		False	13.580246913580247	61	18	0.88
20250424	49.2	58.0	下行	2	秋	False	高		False	24.59016393442623	52	11	0.88
20250425	47.7	56.0	下行	2	秋	False	高		False	15.384615384615385	65	18	0.88
20250428	24.6	12.0	下行	2	夏	True	低	极寒	True	18.46153846153846	40	42	0.88
20250429	38.3	38.0	下行	2	夏	True	低	春机会孕育中	False	15.0	59	23	0.88
20250430	51.1	62.0	下行	2	夏	True	低		False	16.949152542372882	73	11	0.88
20250506	84.6	100.0	上行	2	夏	False	高	🔥火热点·秋风险积累中	False	24.65753424657534	100	1	0.88
20250507	71.8	92.0	上行	2	夏	False	高		False	22.0	65	0	0.88
20250508	59.8	74.0	上行	2	夏	False	高		False	21.53846153846154	66	4	0.88
20250509	36.9	32.0	上行	2	夏	False	高		False	18.181818181818183	33	3	0.88
20250512	68.6	90.0	上行	2	夏	False	高		False	24.242424242424242	51	0	0.88
20250513	56.6	70.0	上行	2	夏	False	高		False	21.568627450980394	48	1	0.88
20250514	74.2	92.0	上行	2	夏	False	高		False	35.416666666666664	63	0	0.88
20250515	50.2	56.0	上行	2	夏	False	高		False	31.746031746031747	50	4	0.88
20250516	61.1	76.0	上行	2	夏	False	高		False	30.0	56	3	0.88
20250519	67.4	84.0	上行	2	夏	False	高		False	41.07142857142857	84	0	0.88
20250520	56.3	62.0	上行	2	夏	False	高		False	33.333333333333336	77	8	0.88
20250521	50.6	52.0	上行	2	夏	False	高		False	23.376623376623378	55	3	0.88
20250522	31.4	22.0	下行	2	秋	False	高		False	23.636363636363637	40	12	0.88
